game_id,game_name,game_url,game_channel
347,The Karate Kid,https://www.youtube.com/watch?v=ym8XIP4jUgI,World of Longplays
176,Insector'X,https://www.youtube.com/watch?v=E_EDgM_4Zjs,World of Longplays
151,Gumshoe,https://www.youtube.com/watch?v=Ks4ploxr_To,AceMoon Gaming Channel
224,Mega Man,https://www.youtube.com/watch?v=2sKcjUjbPr4,World of Longplays
226,Mega Man3,https://www.youtube.com/watch?v=3apcIT1rGzE,World of Longplays
210,Low'G Man  The Low Gravity Man,https://www.youtube.com/watch?v=0AiYWvF-E7I,World of Longplays
204,Lemmings,https://www.youtube.com/watch?v=ogCdw8be4ms,World of Longplays
247,Ms  Pac  Man,https://www.youtube.com/watch?v=807P-DT7AZ4,World of Longplays
017,Arm Wrestling,https://www.youtube.com/watch?v=RlOZcZLb4So,HIDEFACES
288,Saint Seiya  Ougon Densetsu,https://www.youtube.com/watch?v=VVqHDWAo-J8,World of Longplays
186,KidIcarus,https://www.youtube.com/watch?v=dz8L-_MpzSM,World of Longplays
223,Maxi15,https://www.youtube.com/watch?v=0YigOdkyY5Q,World of Longplays
038,Bubble Bobble,https://www.youtube.com/watch?v=ij3f4_APEow,World of Longplays
377,Vs  Raidon Bungeling Bay,https://www.youtube.com/watch?v=YZudVNf7hN0,World of Longplays
322,Super Mario Bros,https://www.youtube.com/watch?v=rc62hFksKo4,World of Longplays
154,Happily Ever After,https://www.youtube.com/watch?v=yirYvwEKAtY,World of Longplays
296,Sky Destroyer,https://www.youtube.com/watch?v=eyfK6jkvBh4,World of Longplays
355,Tiger  Heli,https://www.youtube.com/watch?v=0ZhplpaK2vU,World of Longplays
227,Mega Man4,https://www.youtube.com/watch?v=Z8v_aLnf9Iw,World of Longplays
025,Batman Returns,https://www.youtube.com/watch?v=v0IcqoI0d78,World of Longplays
299,Solitaire,https://www.youtube.com/watch?v=nJQhIwt37n0,World of Longplays
075,Donkey Kong3,https://www.youtube.com/watch?v=sVJE4czZF0I,World of Longplays
000,,https://www.youtube.com/watch?v=RQ6hgzzk_o8,World of Longplays
011,Aliens  Alien2,https://www.youtube.com/watch?v=U0tLZbhlzcs,World of Longplays
386,Wizardry  Knightof Diamonds  The Second Scenario,https://www.youtube.com/watch?v=bHVGOtuzy0E,Were1974
383,Wily amp  Rightno Rock Board  That's Paradise,,
195,Konami Wai Wai World,https://www.youtube.com/watch?v=nxhwIPPCQeY,World of Longplays
218,Maniac Mansion,https://www.youtube.com/watch?v=9EU0Ml28keg,World of Longplays
162,Hiryuno Ken Special  Fighting Wars,https://www.youtube.com/watch?v=O4SLD-ZX40c,World of Longplays
381,Warpman,https://www.youtube.com/watch?v=IT3VdD8rto8,Nenriki Gaming Channel
385,WizardryII  LlylgamynnoIsan,https://www.youtube.com/watch?v=Kdb62B_yxdQ,The Mexican Runner
376,Vs  Hogan's Alley,https://www.youtube.com/watch?v=3RZdbIvW3LI,World of Longplays
331,Taito Chase'H'Q,https://www.youtube.com/watch?v=5NjhQq4UKBY,Mike Shade
203,Legacyof The Wizard,https://www.youtube.com/watch?v=Y_yWLyQb19Q,NintendoComplete
094,Elevator Action,https://www.youtube.com/watch?v=MdFBiauF7w4,World of Longplays
066,Destinyofan Emperor,https://www.youtube.com/watch?v=HMEDr7Wo9vE,World of Longplays
369,'V'S  Ninja Ja Ja Maru kun,https://www.youtube.com/watch?v=qWVAkjw0AXw,World of Longplays
120,Final Mission,https://www.youtube.com/watch?v=9mBexyEiuLs,World of Longplays
277,RainbowIslands  The Storyof Bubble Bobble2,https://www.youtube.com/watch?v=rZG3gNE4ONY,World of Longplays
271,Puzznic,https://www.youtube.com/watch?v=AHhrcfCni_U,World of Longplays
367,Ultima  Exodus,https://www.youtube.com/watch?v=HVx7sh1r_ko,World of Longplays
032,Bio Senshi Dan Increasertono Tatakai,https://www.youtube.com/watch?v=VSGnn_w69H0,World of Longplays
033,Blackjack,https://www.youtube.com/watch?v=MHxvbqjKz1Q,World of Longplays
272,Quarth,https://www.youtube.com/watch?v=rmN5aQlUtaQ,World of Longplays
174,Image Fight,https://www.youtube.com/watch?v=fOc665FGVu8,World of Longplays
330,'T'M Network  Livein Power Bowl,https://www.youtube.com/watch?v=7B0Pwvyuqow,This Is Where You Find Baseball
351,The Panda Prince,https://www.youtube.com/watch?v=Y6vz1_J5ftU,World of Longplays
058,Contra,https://www.youtube.com/watch?v=qXcVojj2GXk,World of Longplays
095,Excitebike,https://www.youtube.com/watch?v=fRgMCtaWoSU,World of Longplays
137,Ganso Saiyuuki  Super Monkey Daibouken,https://www.youtube.com/watch?v=7ox9KtuWG_w,World of Longplays
124,Fleet Commander,https://www.youtube.com/watch?v=7zuYcgUDVmQ,SmartWargames
327,Super Star Force  Jikuurekino Himitsu,,
239,Millipede,https://www.youtube.com/watch?v=5JdTOo4FGOw,World of Longplays
085,Dragon BusterII  Yamino Fuuin,https://www.youtube.com/watch?v=A5cSOt5aEXk,The VideoGames Museum
343,The Goonies,https://www.youtube.com/watch?v=DTDZcYt2PPE,World of Longplays
069,Dig Dug,https://www.youtube.com/watch?v=edE61iy1SJQ,World of Longplays
395,Youkai Douchuuki,https://www.youtube.com/watch?v=UHuf1QDxb24,World of Longplays
285,Route16 Turbo,https://www.youtube.com/watch?v=FAuDJKM-3U8,The VideoGames Museum
052,Choplifter,https://www.youtube.com/watch?v=CxI5tom2xCA,World of Longplays
106,Famicom Mukashi Banashi  Shin Onigashima,https://www.youtube.com/watch?v=oncHpxSmCZw,IGN
282,Robo Warrior,https://www.youtube.com/watch?v=fWYK0Vzv654,World of Longplays
040,Burger Time,https://www.youtube.com/watch?v=TcPXTwXKkSE,World of Longplays
009,Aighinano Yogen  Balubaloukno Densetsu Yori,,
134,Ganbare Goemon2,https://www.youtube.com/watch?v=OH32cMPKiLo,World of Longplays
335,Tecmo Cup Soccer Game,https://www.youtube.com/watch?v=rFv-nT9Pyyc,NintendoComplete
302,Somari,https://www.youtube.com/watch?v=Ayfic62fDrA,World of Longplays
363,Twin Bee3  Poko Poko Daimaou,https://www.youtube.com/watch?v=NBKcUIwII_k,World of Longplays
156,Higemaru Makaijima  Nanatsuno Shima Daibouken,https://www.youtube.com/watch?v=Be4pJzfhVkM,authorblues
193,Klax,https://www.youtube.com/watch?v=87aYodm-su8,World of Longplays
071,Digital Devil Story  Megami Tensei,https://www.youtube.com/watch?v=EHR4UFHvzVs,ShiryuGL
072,Don Doko Don,https://www.youtube.com/watch?v=72Q-30O8YYs,World of Longplays
088,Dragon Warrior,https://www.youtube.com/watch?v=jmzHrNVelL0,World of Longplays
207,Little Red Hood,https://www.youtube.com/watch?v=SFOaYGSN7fE,World of Longplays
181,Kaino Bouken  The Questof Ki,https://www.youtube.com/watch?v=f4MqcuSKqAQ,The VideoGames Museum
010,Alien Syndrome,https://www.youtube.com/watch?v=vfnFlKPh5zw,World of Longplays
303,Space Harrier,https://www.youtube.com/watch?v=XAvsVEiwVhg,World of Longplays
375,Vs  Excitebike,https://www.youtube.com/watch?v=fRgMCtaWoSU,World of Longplays
278,Renegade,https://www.youtube.com/watch?v=flfni9wyytI,World of Longplays
379,Wardnerno Mori,https://www.youtube.com/watch?v=ZoPbj0QwqVU,Drebin
250,Ninja Gaiden,https://www.youtube.com/watch?v=DIcOjUaf5P8,World of Longplays
046,CastlevaniaIII  Dracula's Curse,https://www.youtube.com/watch?v=hFFKAl2A898,World of Longplays
044,Castleof Dragon,https://www.youtube.com/watch?v=cOAVmOMXl0g,World of Longplays
268,Power Blade2,https://www.youtube.com/watch?v=Y33gNed17ug,World of Longplays
304,Space Hunter,https://www.youtube.com/watch?v=PAxRfd-cH2s,World of Longplays
273,'R'B'I  Baseball,https://www.youtube.com/watch?v=BU6Rp1FSZDo,World of Longplays
148,GradiusII,https://www.youtube.com/watch?v=Dwxi83a7luQ,World of Longplays
366,Ufouria  The Saga,https://www.youtube.com/watch?v=RDkyeWFv_yI,World of Longplays
215,Magician,https://www.youtube.com/watch?v=p_h0myFw7NI,NintendoComplete
188,Kidou Senshi'Z  Gundam  Hot Scramble,https://www.youtube.com/watch?v=LzFQ8NJlaTk,RndStranger
396,YsIII  Wanderersfrom Ys,https://www.youtube.com/watch?v=97XMk6z80b0,World of Longplays
111,Fantasy Zone,https://www.youtube.com/watch?v=wCG4mJPb-NY,World of Longplays
015,Arkanoid,https://www.youtube.com/watch?v=Th-Z6QQ5AOQ,World of Longplays
202,Lawn Mower,https://www.youtube.com/watch?v=ODkh9KJ1Q30,JohnX895
248,Musashino Ken  Tadaima Shugyou Chuu,,
403,Zhong Guo Xiang Qi,https://www.youtube.com/watch?v=WPTIEA5b874,Andrew Gamer
217,Majou DensetsuII  Daimashikyou Galious,https://www.youtube.com/watch?v=FDeUrh0iKDw,TASVideosChannel
348,The Legendof Zelda,https://www.youtube.com/watch?v=RQ6hgzzk_o8,World of Longplays
314,Summer Carnival,https://www.youtube.com/watch?v=nfY79-3AdGY,World of Longplays
291,Shadowofthe Ninja,https://www.youtube.com/watch?v=KYzg8TO2WLk,World of Longplays
177,Iron Tank  TheInvasionof Normandy,https://www.youtube.com/watch?v=4rqpDvXUXzE,World of Longplays
041,Caesar's Palace,https://www.youtube.com/watch?v=xtQowKzRjOA,World of Longplays
142,Ghosts'n Goblins,https://www.youtube.com/watch?v=5ZgqugtReso,World of Longplays
364,Twin Cobra,https://www.youtube.com/watch?v=wAefVLJWlPQ,World of Longplays
140,Getsu Fuuma Den,https://www.youtube.com/watch?v=5VuU2rvPmGI,World of Longplays
136,Ganbare Goemon  Karakuri Douchuu,https://www.youtube.com/watch?v=FMDJ7k99c7U,World of Longplays
047,CastlevaniaII  Simon's Quest,https://www.youtube.com/watch?v=U1VNQRQ6wfc,World of Longplays
326,Super Pitfall,https://www.youtube.com/watch?v=Vud0DRdAxco,World of Longplays
179,Journeyto Silius,https://www.youtube.com/watch?v=5_Ztsa5mzA0,World of Longplays
216,Mahjong,https://www.youtube.com/watch?v=4_dC7xmBQ3E,Old Classic Retro Gaming
389,Wrecking Crew,https://www.youtube.com/watch?v=vCF40ee11JQ,World of Longplays
317,Super'C,https://www.youtube.com/watch?v=Tiv9hl_vxfk,World of Longplays
109,Famista,https://www.youtube.com/watch?v=-gMIn5vDf2E,30-30 Club - Baseball Video Game Encyclopedia
100,Falsion,https://www.youtube.com/watch?v=s4RON5j77YY,World of Longplays
043,Castelian,https://www.youtube.com/watch?v=YWN7znU09O4,World of Longplays
172,Ikari WarriorsII Victory Road,https://www.youtube.com/watch?v=Nl8SB9fHLB8,Longplay Center 
119,Final FantasyIII,https://www.youtube.com/watch?v=T9F8jlUcMx0,World of Longplays
061,Dark Lord,https://www.youtube.com/watch?v=qVC4RDqWmf8,Andrey Panchenko
198,Kung Fu,https://www.youtube.com/watch?v=B-gyVEqS1Ts,World of Longplays
127,Flying Warriors,https://www.youtube.com/watch?v=Pj98h-moqKU,World of Longplays
164,Hogan's Alley,https://www.youtube.com/watch?v=3RZdbIvW3LI,World of Longplays
332,Takeshino Chousenjou,https://www.youtube.com/watch?v=rlVAmMw99L4,TASVideosChannel
118,Final FantasyII,https://www.youtube.com/watch?v=zENBscPiExo,World of Longplays
180,Joust,https://www.youtube.com/watch?v=7nj8NqsPEec,World of Longplays
262,Penguin  Kun Wars,https://www.youtube.com/watch?v=g9lfRs48lGE,World of Longplays
324,Super Mario Bros'3,https://www.youtube.com/watch?v=7i9omPUt9iQ,World of Longplays
321,Super Lode Runner,https://www.youtube.com/watch?v=jTbH25YNxE4,World of Longplays
159,Hino Tori Hououhen  Gaouno Bouken,https://www.youtube.com/watch?v=4usfBOmzlBE,World of Longplays
275,Rad Racer,https://www.youtube.com/watch?v=V6ngD3ZC1z8,World of Longplays
319,Super Gun,https://www.youtube.com/watch?v=5QJiI6LSZeE,World of Longplays
284,Rolling Thunder,https://www.youtube.com/watch?v=btfRSbSqyhs,World of Longplays
093,Duck Tales,https://www.youtube.com/watch?v=zYuqB2BPkz4,World of Longplays
084,Dragon Buster,https://www.youtube.com/watch?v=EX3Ca28mJdM,World of Longplays
008,After BurnerII,https://www.youtube.com/watch?v=9xdT2nVpm6A,World of Longplays
401,ZeldaII  The Adventureof Link,https://www.youtube.com/watch?v=LY-YryVEXZQ,World of Longplays
091,Dragon WarriorIV,https://www.youtube.com/watch?v=I2iWoXNK5VQ,World of Longplays
165,Holy Diver,https://www.youtube.com/watch?v=_qs3e9k3dWc,World of Longplays
